,title,data
10,Agave Press - Community of Literary Magazines and Presses," Website http://www.agavepress.com Type Of Publisher Press Genres Published Essays, Fiction, Poetry, Visual Art Year Established 2013 Address Portland, Oregon Name Ariana Lyriotakis Title Editor Mission Statement / Editorial Focus Founded in 2013, we are an independent publisher of art, literature, and photography publications, as well as fine books. 
Agave Magazine, our eponymous publication, is read in 75 countries, and growing. We look for contemporary narratives for a modern audience displaying all the essentials--no more, no less.  Investigations of form and genre are also encouraged."
11,"AIM Higher, Inc. - Community of Literary Magazines and Presses"," Website http://www.aimhigher.org Type Of Publisher Press Genres Published Poetry, Cross Genre Hybrid, Translation, Visual Art Year Established 2020 Address West Hurley, NY Name Lissa Kiernan Title Executive Director Email [email protected] Mission Statement / Editorial Focus AIM Higher publishes books that blur boundaries, negate binaries, interrogate, confound, and delight. We endeavor to open portals into unmapped and magical dimensions, and honor intuition and collaboration."
12,Alice James Books - Community of Literary Magazines and Presses," Website http://www.alicejamesbooks.org Type Of Publisher Press Genres Published Poetry Year Established 1973 Address New Gloucester, ME Name Alyssa Neptune Title Production & Managing Director Mission Statement / Editorial Focus Alice James is committed to collaborating with literary artists of excellence to produce, promote, and distribute their work which often engages readers on important social issues. The press provides a platform from which to elevate and support writers who offer overlooked perspectives and whose voices have been historically marginalized. AJB is dedicated to helping its artists achieve purposeful engagement with broad audiences and communities nationwide."
13,Alternative Field - Community of Literary Magazines and Presses," Website http://www.alternativefield.com Type Of Publisher Chapbook Genres Published Essays, Graphic Novels Comics, Poetry, Translation Year Established 2016 Address Los Angeles, CA Name Jessica Ceballos y Campbell Mission Statement / Editorial Focus “What happens after the reading, in between the writing, thinking, and living?”  Alternative Field welcomes dialogue, discourse, co-operative thinking in ways that may instigate internal but constructive criticism, and we do this through curated workshops, discussions, interdisciplinary events, and ethically mindful artistic collaborations and partnerships. Our focus, however, is publishing poetry anthologies.  We publish anthologies under our imprint, Alternative Field Notes. We invite our communities (in various senses of the term) to use their known and/or unknown poetic sensibilities to share discourse and to archive it for future generations.  Alternative Field utilizes poetry [in opposition to violent systems of erasure] as a means to bring people together for a common cause of re-associating our environments to those which are culturally familiar and relevant, in order to resist erasure, and to emerge from this era moving forward toward a more just future, guided by worldviews that foster collaboration and mutuality. Accepts Unsolicited Submissions No"
14,Amplicon Press - Community of Literary Magazines and Presses," Website https://ampliconpress.com Type Of Publisher Magazine, Press Genres Published Essays, Poetry Year Established 2023 Address London, London Name Simon Kaeppeli Title Editor Mission Statement / Editorial Focus Amplicon Press Ltd was founded in January 2023. While headquartered in the UK, we welcome contributions from all over the world. We publish our literary journal, ionosphere, twice a year. ionosphere explores the complex relationship between science, technology, and the human experience. We believe that these forces have the power to shape our world and our understanding of ourselves, and we are committed to publishing works that delve into these themes with depth and nuance.  At Amplicon Press, we are passionate about poetry and storytelling and the power of words to inspire, educate, and transform."
15,Antiphony: a journal & press - Community of Literary Magazines and Presses," Website http://www.antiphonyajournalandpress.com Type Of Publisher Magazine, Press Genres Published Poetry, Experimental, Interviews, Translation Year Established 2024 Address Burlingame, California Name Ann Pedone Title Founder & Editor-in-Chief Email [email protected] Mission Statement / Editorial Focus Antiphony is a San Francisco-based quarterly online and print poetry journal and small press. Accepts Unsolicited Submissions No Charges Writers A Submission/Reading Fee no Contests no Number Of Issues Per Year 1"
16,April Gloaming Publishing - Community of Literary Magazines and Presses," Website https://www.aprilgloaming.com Type Of Publisher Magazine, Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Environment Nature, Essays, Experimental, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Humor, Mystery Crime, Regional, Sci Fi Fantasy Speculative, Translation, Visual Art Year Established 2015 Address Nashville, TN Name Lara Gray Title Managing Editor Email [email protected] Mission Statement / Editorial Focus April Gloaming Publishing is a nonprofit independent book press that publishes Southern literature (poetry, fiction, memoirs) by both emerging and established authors. [Please take a look at the About section of our website, as we do not define Southern literature by region, but rather, by aesthetic.] We hold events that bring Southern communities together around the necessary art of literature. Beyond this, we strengthen Southern communities by offering paid opportunities and internships for local professionals to support the publication process, including freelance editing, graphic design, marketing, social media, and art/illustrations to accompany our titles. We also curate and publish the literary and arts journal, Waxing & Waning, which publishes poetry, fiction, creative nonfiction, art, graphic stories, screenplays, plays, and short films that ""bathe in the light of the moon."" Accepts Unsolicited Submissions yes Submission Guidelines URL https://www.aprilgloaming.com/submit Reading Period Year round Response Time 6-12 months Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Formats paperback, print, chapbook, ebook, audio Contests yes Contest Guidelines https://aprilgloaming.com/awards/ Facebook https://www.facebook.com/aprilgloaming Instagram https://www.instagram.com/aprilgloamingpublishing Number Of Issues Per Year 2 Price Per Issue $18.99 (print) FREE (online) Subscription Price N/A Total Subscribers N/A Total Circulation 100-500 Number Of Books Published Per Year 10-15 Distributors Ingram"
17,Aquarius Press/Willow Books - Community of Literary Magazines and Presses," Website http://www.WillowLit.net Type Of Publisher Press Genres Published Fiction, Poetry, Visual Art Year Established 1999 Address MI, 48223 Name Randall Horton Title Editor Mission Statement / Editorial Focus Aquarius Press publishes trade, academic, and special interest titles by writers typically underrepresented in the marketplace. Key partnerships have been formed with several universities, libraries, governmental agencies, and literary organizations. Numerous titles are included in special collections, including the University of Michigan Special Collection, Poets House in New York, and the African Libraries Collective. The flagship imprint, Willow Books, was co-founded with Dr. Randall Horton in 2007 with a mission to develop, publish, and promote writers of color. Collaborations include PEN/Faulkner, Cave Canem Foundation, Inc. and the Weeksville Heritage Center. In addition to publishing and providing professional development opportunities, Willow has created a platform for its authors to engage with the public through workshops, conferences, digital streaming broadcasts, and public readings in the U.S. and abroad. Signature events include the annual LitFest (Seattle, Chicago, Boston, Minneapolis, Los Angeles and D.C.) and its Literature Awards. The Willow Arts Alliance sponsors fellowships to talented multidisciplinary artists. The press has an active roster of over 40 single-title authors and has published over 10 anthologies and journals containing the works of over 200 poets and writers. An industry leader, the press is known for its excellence in design, content, and diverse selection of award-winning authors and fellows."
18,Arcana Poetry Press - Community of Literary Magazines and Presses," Website https://arcanapoetrypress.com Type Of Publisher Press Genres Published Poetry Year Established 2025 Address Walden, NY Name Jordyn Krieg Title Founder / Editor Email [email protected] Mission Statement / Editorial Focus At Arcana Poetry Press, we are dedicated to bringing raw, emotionally powerful poetry to the forefront. Our mission is to create a space where poets can share their voices, explore the complexities of the human experience, and connect with a diverse, inclusive community. We believe poetry is a deeply personal form of expression, one that speaks to the heart and mind in unique ways. Our goal is to highlight work that not only stirs the soul but challenges conventional thinking, opens new emotional landscapes, and invites readers to experience the world from perspectives they might not have considered before.  We believe that poetry should be accessible to everyone, and that every voice deserves to be heard. We strive to publish works that represent a wide range of experiences, backgrounds, and emotions, ensuring that our collections reflect the richness of the world we live in. We are dedicated to supporting poets from all walks of life. Our press thrives on publishing work that is unique, authentic, and deeply human. We are proud to support social media poets and provide a space for new and established voices alike.  We believe in paying our poets for their art. We understand the importance of the creative process, and we value the work that goes into writing, editing, and sharing poems with the world. We offer publication advances and royalties on all full-length and chapbook poetry collections. Accepts Unsolicited Submissions Yes Submission Guidelines URL https://arcanapoetrypress.com/submission-guidelines Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Contests no Instagram https://www.instagram.com/arcanapoetrypress Distributors IPS for wide distribution. We also handle direct sales."
19,Archway Editions - Community of Literary Magazines and Presses," Website https://www.archwayeditions.us Type Of Publisher Press Genres Published Essays, Fiction, Poetry, Reviews, Translation, Visual Art Year Established 2019 Address Brooklyn, NY Name Chris Molnar Title Publisher and Editorial Director Mission Statement / Editorial Focus Archway’s mission is to publish the finest authors, at all stages of their careers, who write material which is at odds with the prevailing status quo, both legendary and emerging. This series is designed to be a literary complement to the trailblazing artbooks of powerHouse Books proper, pocket-sized texts that are guaranteed to alter the way you see the world. Accepts Unsolicited Submissions No Contests no"
20,Assure Press - Community of Literary Magazines and Presses," Website http://assurepress.org Type Of Publisher Press Genres Published Fiction, Poetry, Audio, Essays, Reviews, Translation, Visual Art Year Established 2017 Address Cedar Hill, TX Name Assure Press Title Publisher Mission Statement / Editorial Focus Assure Press Publishing & Consulting, LLC connects authors and artists with the world through inspirational and enlightening poetry, fiction, non-fiction, motivational, and educational literature. Accepts Unsolicited Submissions No"
21,Autumn Art - Community of Literary Magazines and Presses," Website https://autumnartbooks.com Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Drama, Essays, Feminist, Interviews, Political, Regional, Religious, Translation Year Established 2016 Address Patiala, Punjab Name Preeti Shelly Title Founder Email [email protected] Mission Statement / Editorial Focus Autumn Art is a distinguished literary publisher based in Patiala, dedicated to promoting Punjabi language literature. With a strong commitment to linguistic and cultural preservation, Autumn Art has played a significant role in bringing high-quality Punjabi books to readers worldwide.  Over the years, the publisher has built a reputation for publishing multiple bestseller books across various genres, including fiction, poetry, biographies, and academic works. Autumn Art has consistently collaborated with renowned Punjabi authors and emerging voices, ensuring that the richness of the language and its literary traditions continue to thrive.  By providing a platform for Punjabi literature, Autumn Art has not only contributed to the literary landscape of Punjab but also helped bridge the gap between generations by preserving stories, histories, and ideas in their native language."
22,Autumn House Press - Community of Literary Magazines and Presses," Website http://www.autumnhouse.org Type Of Publisher Press Genres Published Fiction, Poetry, Essays, Visual Art Year Established 1998 Address Pittsburgh, PA Name Christine Stroud Title Editor in Chief Email [email protected] Mission Statement / Editorial Focus Autumn House Press is a nonprofit publisher located in Pittsburgh, PA, whose mission is to publish and promote poetry and other fine literature.  Founded in 1998, Autumn House Press believes literature affirms the deep and elemental range of our human experience, and our need for it is now more crucial than ever. Autumn House is committed to championing debut, emerging, and established authors and to supporting our authors throughout their careers. We pledge to edit their work with devotion and care and to create beautiful books. Accepts Unsolicited Submissions No Contests no"
23,Ballerini Book Press - Community of Literary Magazines and Presses," Website https://ballerinibookpress.ch Type Of Publisher Magazine, Press Genres Published Fiction, Poetry, Audio, Autobiography Memoir, Criticism Reviews, Essays, Reviews, Translation, Visual Art Year Established 2020 Address Lucerne, Kriens Name Renée Ballerini-Sigel Title Publisher Email [email protected] Mission Statement / Editorial Focus Ballerini Book Press and its cultural magazine Literati Magazine (since 1999) is dedicated to preserving the independence of the artistic voice, regardless of origin. Our editorial focus is prepared to go against the grain and our publishing collaborative projects may defy conventional expectations of 'traditional print publishing. We seek to curate what an become an historical window into global artistry which thrives on the sidelines of mainstream literature. Accepts Unsolicited Submissions No Charges Writers A Submission/Reading Fee no Contests no"
24,Bamboo Ridge Press - Community of Literary Magazines and Presses," Website http://www.bambooridge.org Type Of Publisher Press Genres Published Fiction, Poetry, Audio, Essays, Visual Art Year Established 1978 Address Honolulu, HI Name Wing Tek Lum Title Business Manager Email [email protected] Mission Statement / Editorial Focus Hawai‘i’s longest running, independent, literary small press. Bamboo Ridge Press is a nonprofit organization founded in 1978 to foster the creation, appreciation, and preservation of literature and art for, by, or about the people of Hawai‘i and the Pacific.  While special attention is given to literature that reflects an island sensibility, Bamboo Ridge is broad in scope and embraces a variety of work from emerging and established writers across the nation. Some of our books have received recognition for literary excellence and for their contribution to the understanding and appreciation of Hawaiʻi’s cultures and people. Accepts Unsolicited Submissions No Charges Writers A Submission/Reading Fee no Contests no"
25,Banana Slug Books - Community of Literary Magazines and Presses," Website https://www.bananaslugbooks.com/ Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Feminist Year Established 2024 Address Spokane, WA Name Aimee N Brooks Title Editor-in-chief Email [email protected] Mission Statement / Editorial Focus Mission: To uplift emerging and established literary voices, building a bridge between publishing experiences and community Accepts Unsolicited Submissions Yes"
26,Baobab Press - Community of Literary Magazines and Presses," Website http://baobabpress.com/ Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Essays, Graphic Novels Comics Year Established 1998 Address Reno, Nevada Mission Statement / Editorial Focus Baobab Press seeks books that communicate and support their themes through new and well-articulated means. We like risk and invention, but more importantly we are looking for quality of thought in work that adds depth to its concerns. And although it is not an official requirement, we tend to select literary work with a strong sense of place at its core. Ultimately, our goal is to publish work that resonates in the contemporary climate and that will continue to resonate in years to come. Accepts Unsolicited Submissions No Charges Writers A Submission/Reading Fee no Contests no"
27,Behemoth Magazine - Community of Literary Magazines and Presses," Website https://www.behemothmagazine.com/ Type Of Publisher Magazine, Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Environment Nature, Flash Fiction, Graphic Novels Comics, Horror Thriller Suspense, Humor, Mystery Crime, Sci Fi Fantasy Speculative, Visual Art, Young Adult Year Established 2024 Address Madera, California Name Scott Knoll Email [email protected] Mission Statement / Editorial Focus Behemoth Magazine is a digital magazine that harnesses a giant monster visual aesthetic to deliver colossal-sized content across photography, writing, art, comic books, and interviews with creative dreamers. We provide a platform for both emerging and established creators, fostering an inclusive space where imagination knows no limits. Our mission is to celebrate innovative storytelling and visual expression while supporting artists of all backgrounds. Through bold, larger-than-life content, we aim to contribute to the cultural landscape and inspire creativity in all its forms. Accepts Unsolicited Submissions No Contests no"
28,Belladonna* Collaborative - Community of Literary Magazines and Presses," Website http://www.belladonnaseries.org Type Of Publisher Press Genres Published Poetry, Translation Year Established 1999 Address Brooklyn, NY Name Zoe Tuck and Summer C.J. Wrobel Mission Statement / Editorial Focus The Belladonna* mission is to promote the work of women writers who are adventurous, experimental, politically involved, multi-form, multicultural, multi-gendered, impossible to define, delicious to talk about, unpredictable and dangerous with language. Accepts Unsolicited Submissions No"
29,Belle Point Press - Community of Literary Magazines and Presses," Website https://bellepointpress.com/ Type Of Publisher Press Genres Published Fiction, Poetry, Essays, Visual Art Year Established 2021 Address Fort Smith, Arkansas Name Casie Dodd Title Founder and Publisher Mission Statement / Editorial Focus Belle Point Press is a literary small press along the Arkansas-Oklahoma border. Our mission is simple: Stick around and read.  As a community-oriented press, we are primarily interested in seeing work from writers tied to Arkansas and the surrounding area, including Oklahoma, Louisiana, Texas, Tennessee, Mississippi, Missouri, etc. as well as other Southern states (This connection doesn’t necessarily have to be explicit in the work itself.). Show us what it means to be from around here. Accepts Unsolicited Submissions No Charges Writers A Submission/Reading Fee no Contests no"
30,Bending Genres - Community of Literary Magazines and Presses," Website https://www.bendinggenres.com Type Of Publisher Online, Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Criticism Reviews, Experimental, Reviews Year Established 2018 Address River Hills, WI Name Robert Vaughan Title Editor-in-chief Email [email protected] Mission Statement / Editorial Focus Mission  Bending Genres seeks in-your-face writing that is experimental, gut-wrenching, terrifying, stultifying, breakneck speed, sex-driven, whooshing out, and secretive.  Inclusion Policy  Here at BG, we strive to include the unincluded and welcome submissions from persons of indigenous cultures, POC, non-binary genders, members of the LGBTQIA community, non-abled bodied, neurodivergent persons, and any that do not fit within the normalized culture that has been made a binary space, and aim to make their work more prevalent in the literary community at large.  Zero Tolerance Policy  Bending Genres is a literary magazine that aims for inclusion and we regret to exclude any individual. However, we will not publish, condone, or endorse writing or writers who promote harassment, hate speech, or violence toward a particular individual or group, including (but not limited to) sexual harassment, homophobia, transphobia, misogyny, racism, or any attitude that may harm or be used to assault verbally, or otherwise, any person within the literary community or extraneous to it. If discovered, we will terminate any individual’s work, published or pending publication, if there is viable proof of harassment committed by said individuals. Accepts Unsolicited Submissions Yes Submission Guidelines URL https://bendinggenres.submittable.com/submit Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments none Contests no Facebook https://www.facebook.com/search/top?q=bending%20genres Twitter https://x.com/BendingGenres Instagram https://www.instagram.com/bendinggenres/ Distributors various venues"
31,Best New Poets - Community of Literary Magazines and Presses," Website https://www.bestnewpoets.org/ Type Of Publisher Press Genres Published Poetry Year Established 2005 Address Charlottesville, VA Name Jeb Livingood Title Series Editor Mission Statement / Editorial Focus Best New Poets is an annual poetry anthology of fifty poems from emerging writers. Accepts Unsolicited Submissions No Charges Writers A Submission/Reading Fee no Contests no"
32,Big Wonderful Press - Community of Literary Magazines and Presses," Website https://www.bigwonderfulpress.com Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Feminist, Humor, Sci Fi Fantasy Speculative, Young Adult Year Established 2012 Address New Paltz, NY Email [email protected] Mission Statement / Editorial Focus We are an anti-AI, grassroots publishing house celebrating human creativity. No literary popularity contests. Accepts Unsolicited Submissions Yes"
33,Big Yes Press - Community of Literary Magazines and Presses," Website http://www.bigyespress.com Type Of Publisher Press Genres Published Fiction, Poetry Year Established 2012 Address Arroyo Grande, CA Name Paula C. Lowe Title publisher Mission Statement / Editorial Focus Big Yes Press is a not for profit small press producing poetry books that speak to our places, people, and times  since 2012.  BYP has one to two books in motion at any given time.  Started in the spirit of a cooperative, and in partnership with each of its authors, BYP welcomes poetry, graphic poetry, and short story collection submissions. Please follow the guidelines stated on our website. Accepts Unsolicited Submissions No Contests no"
34,Bilingual Press | Editorial Bilingüe (BP | EB) - Community of Literary Magazines and Presses," Website https://bilingualpress.submittable.com/submit Type Of Publisher Press Genres Published Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Experimental, Feminist, Graphic Novels Comics, Political, Regional, Reviews, Translation, Visual Art, Young Adult Year Established 1973 Address Tempe, Arizona Name Anita Huizar-Hernandez Title Publisher and Managing Editor Email [email protected] Mission Statement / Editorial Focus Bilingual Press Mission | Misión de la Editorial Bilingüe  We publish contemporary bilingual books that reflect the Latino/a/x/e experience.  As a resource for communities of writers, visual artists, students, and readers, we center translation to celebrate the rich multilingual legacies of the United States.  Publicamos libros bilingües contemporáneos que reflejan la experiencia latina.  Como un recurso para las comunidades de escritores, artistas visuales, estudiantes y lectores, nos centramos en la traducción para celebrar la rica herencia multilingüe de los Estados Unidos. Accepts Unsolicited Submissions no Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Contests no Instagram https://www.instagram.com/bilingualpress/ Distributors Self-distributor"
35,BkMk Press - Community of Literary Magazines and Presses," Website http://www.bkmkpress.org Type Of Publisher Press Genres Published Fiction, Poetry, Essays Year Established 1971 Address Parkville, MO Name Ben Furnish Title Editor Mission Statement / Editorial Focus The mission of BkMk Press, publisher of fine literary books,  to discover, publish and promote the best and most exciting literary writing, wherever it might be found.  In recent years, BkMk Press titles have won or placed in numerous national awards, including Pushcart Prizes, PEN/Faulklner and PEN Hemingway, and American Book Awards. Accepts Unsolicited Submissions No Charges Writers A Submission/Reading Fee no Contests no"
